date,follower
2024-05-09,1048523
2024-05-08,1048454
2024-05-07,1048304
2024-05-06,1048091
2024-05-05,1047985
2024-05-04,1047837
2024-05-03,1047439
2024-05-02,1047210
2024-05-01,1046986
2024-04-30,1046694
2024-04-29,1046439
2024-04-28,1046434
2024-04-27,1046233
2024-04-26,1046053
2024-04-25,1045946
2024-04-24,1045832
2024-04-23,1045477
2024-04-22,1045339
2024-04-21,1045242
2024-04-20,1044817
2024-04-19,1044489
2024-04-18,1044463
2024-04-17,1044445
2024-04-16,1044340
2024-04-15,1044184
2024-04-14,1044048
2024-04-13,1043465
2024-04-12,1043165
2024-04-11,1042953
2024-04-10,1042754
2024-04-09,1042353
2024-04-08,1042158
2024-04-07,1041939
2024-04-06,1041642
2024-04-05,1041379
2024-04-04,1041180
2024-04-03,1040913
2024-04-02,1040719
2024-04-01,1040525
2024-03-31,1040363
2024-03-30,1040103
2024-03-29,1039815
2024-03-28,1039691
2024-03-27,1039612
2024-03-26,1039481
2024-03-25,1039399
2024-03-24,1039289
2024-03-23,1039189
2024-03-22,1039135
2024-03-21,1039112
2024-03-20,1039050
2024-03-19,1038939
2024-03-18,1038789
2024-03-17,1038681
2024-03-16,1038500
2024-03-15,1038413
2024-03-14,1038236
2024-03-13,1038180
2024-03-12,1038033
2024-03-11,1037762
2024-03-10,1037600
2024-03-09,1037482
2024-03-08,1037520
2024-03-07,1037459
2024-03-06,1037408
2024-03-05,1037360
2024-03-04,1037242
2024-03-03,1037124
2024-03-02,1036918
2024-03-01,1036796
2024-02-29,1036719
2024-02-28,1036518
2024-02-27,1036372
2024-02-26,1036274
2024-02-25,1035969
2024-02-24,1035571
2024-02-23,1035130
2024-02-22,1034616
2024-02-21,1034007
2024-02-20,1033309
2024-02-19,1031979
2024-02-18,1030844
2024-02-17,1030146
2024-02-16,1029430
2024-02-15,1028774
2024-02-14,1028283
2024-02-13,1027688
2024-02-12,1026962
2024-02-11,1026417
2024-02-10,1025810
2024-02-09,1024945
2024-02-08,1023972
2024-02-07,1023350
2024-02-06,1022755
2024-02-05,1022170
2024-02-04,1021560
2024-02-03,1020809
2024-02-02,1020046
2024-02-01,1019273
2024-01-31,1018439
2024-01-30,1018067
2024-01-29,1017664
2024-01-28,1017384
2024-01-27,1017041
2024-01-26,1016682
2024-01-25,1016369
2024-01-24,1015960
2024-01-23,1015564
2024-01-22,1015057
2024-01-21,1014455
2024-01-20,1013655
2024-01-19,1012921
2024-01-18,1012471
2024-01-17,1011849
2024-01-16,1011399
2024-01-15,1010859
2024-01-14,1010287
2024-01-13,1009595
2024-01-12,1008899
2024-01-11,1008477
2024-01-10,1007960
2024-01-09,1007242
2024-01-08,1006984
2024-01-07,1006608
2024-01-06,1005964
2024-01-05,1005029
2024-01-04,1004628
2024-01-03,1004085
2024-01-02,1003590
2024-01-01,1003138
2023-12-31,1002239
2023-12-30,999831
2023-12-29,996173
2023-12-28,994677
2023-12-27,993508
2023-12-26,992658
2023-12-25,991999
2023-12-24,991219
2023-12-23,989728
2023-12-22,986809
2023-12-21,985990
2023-12-20,985571
2023-12-19,985196
2023-12-18,984812
2023-12-17,984345
2023-12-16,983348
2023-12-15,982455
2023-12-14,981675
2023-12-13,981210
2023-12-12,980689
2023-12-11,980536
2023-12-10,980197
2023-12-09,979357
2023-12-08,978323
2023-12-07,977589
2023-12-06,976668
2023-12-05,975742
2023-12-04,975303
2023-12-03,974924
2023-12-02,974405
2023-12-01,973362
2023-11-30,972088
2023-11-29,971020
2023-11-28,970050
2023-11-27,969400
2023-11-26,968682
2023-11-25,967185
2023-11-24,965897
2023-11-23,965129
2023-11-22,964632
2023-11-21,963850
2023-11-20,963002
2023-11-19,962305
2023-11-18,961315
2023-11-17,959764
2023-11-16,958802
2023-11-15,957887
2023-11-14,957205
2023-11-13,956616
2023-11-12,955596
2023-11-11,954590
2023-11-10,953389
2023-11-09,952623
2023-11-08,951975
2023-11-07,951349
2023-11-06,950658
2023-11-05,949595
2023-11-04,948274
2023-11-03,947057
2023-11-02,946452
2023-11-01,945518
2023-10-31,944199
2023-10-30,942829
2023-10-29,941538
2023-10-28,939548
2023-10-27,938225
2023-10-26,937584
2023-10-25,937198
2023-10-24,936458
2023-10-23,935786
2023-10-22,935259
2023-10-21,934765
2023-10-20,933881
2023-10-19,933488
2023-10-18,933022
2023-10-17,932358
2023-10-16,931882
2023-10-15,931343
2023-10-14,930237
2023-10-13,929382
2023-10-12,928695
2023-10-11,928015
2023-10-10,927258
2023-10-09,926620
2023-10-08,925689
2023-10-07,924980
2023-10-06,924250
2023-10-05,923170
2023-10-04,921191
2023-10-03,918908
2023-10-02,916297
2023-10-01,913044
2023-09-30,910007
2023-09-29,906763
2023-09-28,903597
2023-09-27,901729
2023-09-26,901013
2023-09-25,899596
2023-09-24,898496
2023-09-23,896387
2023-09-22,894519
2023-09-21,893276
2023-09-20,892048
2023-09-19,890695
2023-09-18,889053
2023-09-17,888564
2023-09-16,887939
2023-09-15,887126
2023-09-14,886624
2023-09-13,885908
2023-09-12,885314
2023-09-11,884823
2023-09-10,884435
2023-09-09,883361
2023-09-08,881547
2023-09-07,879636
2023-09-06,878725
2023-09-05,878167
2023-09-04,877176
2023-09-03,876483
2023-09-02,874913
2023-09-01,873267
2023-08-31,872316
2023-08-30,871757
2023-08-29,870654
2023-08-28,868126
2023-08-27,866603
2023-08-26,865177
2023-08-25,863252
2023-08-24,861884
2023-08-23,859818
2023-08-22,858588
2023-08-21,857341
2023-08-20,855871
2023-08-19,854490
2023-08-18,853448
2023-08-17,852369
2023-08-16,851296
2023-08-15,849985
2023-08-14,848181
2023-08-13,846729
2023-08-12,845241
2023-08-11,843282
2023-08-10,842214
2023-08-09,841545
2023-08-08,840478
2023-08-07,839209
2023-08-06,838101
2023-08-05,836904
2023-08-04,835547
2023-08-03,834559
2023-08-02,833686
2023-08-01,832958
2023-07-31,832239
2023-07-30,831172
2023-07-29,830254
2023-07-28,829148
2023-07-27,828032
2023-07-26,826863
2023-07-25,825665
2023-07-24,823590
2023-07-23,821866
2023-07-22,820014
2023-07-21,818000
2023-07-20,816134
2023-07-19,815130
2023-07-18,814110
2023-07-17,811518
2023-07-16,809620
2023-07-15,807152
2023-07-14,804342
2023-07-13,802170
2023-07-12,800228
2023-07-11,798789
2023-07-10,797743
2023-07-09,796876
2023-07-08,795856
2023-07-07,794732
2023-07-06,793802
2023-07-05,793179
2023-07-04,792424
2023-07-03,791803
2023-07-02,791156
2023-07-01,790331
2023-06-30,789599
2023-06-29,788578
2023-06-28,787346
2023-06-27,786519
2023-06-26,785414
2023-06-25,783351
2023-06-24,782517
2023-06-23,781476
2023-06-22,780527
2023-06-21,779498
2023-06-20,777768
2023-06-19,776078
2023-06-18,775253
2023-06-17,774188
2023-06-16,773228
2023-06-15,772185
2023-06-14,771179
2023-06-13,769734
2023-06-12,768064
2023-06-11,766535
2023-06-10,764606
2023-06-09,762801
2023-06-08,761837
2023-06-07,761333
2023-06-06,760738
2023-06-05,759594
2023-06-04,758778
2023-06-03,757820
2023-06-02,756623
2023-06-01,756153
2023-05-31,755817
2023-05-30,755514
2023-05-29,755066
2023-05-28,754521
2023-05-27,753560
2023-05-26,752444
2023-05-25,752051
2023-05-24,751466
2023-05-23,750834
2023-05-22,750308
2023-05-21,749755
2023-05-20,749245
2023-05-19,747994
2023-05-18,747377
2023-05-17,746910
2023-05-16,746569
2023-05-15,746310
2023-05-14,745850
2023-05-13,745454
2023-05-12,745077
2023-05-11,744508
2023-05-10,744166
2023-05-09,743911
2023-05-08,743665
2023-05-07,743452
2023-05-06,743034
2023-05-05,742719
2023-05-04,742340
2023-05-03,741731
2023-05-02,741317
2023-05-01,739298
2023-04-30,738856
2023-04-29,738442
2023-04-28,738260
2023-04-27,738151
2023-04-26,737903
2023-04-25,737744
2023-04-24,737522
2023-04-23,737245
2023-04-22,736992
2023-04-21,736768
2023-04-20,736592
2023-04-19,736598
2023-04-18,736719
2023-04-17,736745
2023-04-16,736525
2023-04-15,736277
2023-04-14,736002
2023-04-13,735970
2023-04-12,735849
2023-04-11,735645
2023-04-10,735431
2023-04-09,735221
2023-04-08,734762
2023-04-07,734236
2023-04-06,733843
2023-04-05,733582
2023-04-04,732833
2023-04-03,732159
2023-04-02,731798
2023-04-01,730974
2023-03-31,730595
2023-03-30,730188
2023-03-29,730017
2023-03-28,729771
2023-03-27,729568
2023-03-26,729279
2023-03-25,728932
2023-03-24,728871
2023-03-23,728855
2023-03-22,728837
2023-03-21,728639
2023-03-20,728154
2023-03-19,727823
2023-03-18,727465
2023-03-17,727338
2023-03-16,727135
2023-03-15,726863
2023-03-14,726646
2023-03-13,724879
2023-03-12,724378
2023-03-11,723461
2023-03-10,722633
2023-03-09,721525
2023-03-08,720976
2023-03-07,720379
2023-03-06,719853
2023-03-05,719288
2023-03-04,718169
2023-03-03,717072
2023-03-02,716644
2023-03-01,716195
2023-02-28,715902
2023-02-27,715461
2023-02-26,715064
2023-02-25,714333
2023-02-24,712984
2023-02-23,712678
